order	channel	x	y	z
1	FP1	-27	83	-3
2	FPZ	0	87	-3
3	FP2	27	83	-3
4	AF3	-36	76	24
5	AF4	36	76	24
6	F7	-71	51	-3
7	F5	-64	55	23
8	F3	-48	59	44
9	F1	-25	62	56
10	FZ	0	63	61
11	F2	25	62	56
12	F4	48	59	44
13	F6	64	55	23
14	F8	71	51	-3
15	FT7	-83	27	-3
16	FC5	-78	30	27
17	FC3	-59	31	56
18	FC1	-33	33	74
19	FCZ	0	34	81
20	FC2	33	33	74
21	FC4	59	31	56
22	FC6	78	30	27
23	FT8	83	27	-3
24	T7	-87	0	-3
25	C5	-82	0	31
26	C3	-63	0	61
27	C1	-34	0	81
28	CZ	0	0	88
29	C2	34	0	81
30	C4	63	0	61
31	C6	82	0	31
32	T8	87	0	-3
33	TP7	-83	-27	-3
34	CP5	-78	-30	27
35	CP3	-59	-31	56
36	CP1	-33	-33	74
37	CPZ	0	-34	81
38	CP2	33	-33	74
39	CP4	59	-31	56
40	CP6	78	-30	27
41	TP8	83	-27	-3
42	P7	-71	-51	-3
43	P5	-64	-55	23
44	P3	-48	-59	44
45	P1	-25	-62	56
46	PZ	0	-63	61
47	P2	25	-62	56
48	P4	48	-59	44
49	P6	64	-55	23
50	P8	71	-51	-3
51	PO7	-51	-71	-3
52	PO5	-43	-74	11
53	PO3	-36	-76	24
54	POZ	0	-82	31
55	PO4	36	-76	24
56	PO6	43	-74	11
57	PO8	51	-71	-3
58	CB1	-87	-87	-3
59	O1	-27	-83	-3
60	OZ	0	-87	-3
61	O2	27	-83	-3
62	CB2	87	-87	-3
